consent_form.block_1/question2,participant,session,date,expName,psychopyVersion,OS,frameRate,cbingDFv2.group,cbingDFv2.remaining,code.started,code.stopped,training_instruction.started,training_instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,training3.started,training3.stopped,trials3.thisRepN,trials3.thisTrialN,trials3.thisN,trials3.thisIndex,trials3.ran,"ID",word,easy_hard,old_new,R_F,testing_instruction.started,testing_instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,testing_phase.started,testing_phase.stopped,testing_input.keys,testing_input.rt,testing_input.duration,testing.thisRepN,testing.thisTrialN,testing.thisN,testing.thisIndex,testing.ran,KFFRQ,ART_instruction.started,ART_instruction.stopped,ART.started,ART.stopped,key_resp_LDT.keys,key_resp_LDT.rt,key_resp_LDT.duration,ART_trials.thisRepN,ART_trials.thisTrialN,ART_trials.thisN,ART_trials.thisIndex,ART_trials.ran,Index,Author,real,LexTALE_instruction.started,LexTALE_instruction.stopped,LexTALE.started,LexTALE.stopped,key_resp_LDT_2.keys,key_resp_LDT_2.rt,key_resp_LDT_2.duration,LexTALE_trials.thisRepN,LexTALE_trials.thisTrialN,LexTALE_trials.thisN,LexTALE_trials.thisIndex,LexTALE_trials.ran,Word,Real,language_background_q.block_1/Q1,language_background_q.block_1/Q2,language_background_q.block_1/Q17,language_background_q.block_1/Q19,language_background_q.block_1/Q20,language_background_q.block_1/Q21,language_background_q.block_1/Q22,language_background_q.block_1/Q47,language_background_q.block_1/Q53,language_background_q.block_1/Q54,language_background_q.block_1/Q55,language_background_q.block_1/Q58,language_background_q.block_1/Q59,language_background_q.block_1/Q60
,248724,001,2026-04-10_16h07.29.219,DFv2,2026.1.1,Win32,58.82352941,,,,,,,,,,,,,,,,,66,RURAL,easy,,,,,,,,397.0009,399.73,z,1.6781,,0,0,0,65,1,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,248724,001,2026-04-10_16h07.29.219,DFv2,2026.1.1,Win32,58.82352941,,,,,,,,,,,,,,,,,61,CUTTING,easy,,,,,,,,399.7313,404.3966,z,3.6329,,0,1,1,60,1,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,248724,001,2026-04-10_16h07.29.219,DFv2,2026.1.1,Win32,58.82352941,,,,,,,,,,,,,,,,,56,FARTHER,easy,,,,,,,,404.3983,408.6794,z,3.2444,,0,2,2,55,1,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,248724,001,2026-04-10_16h07.29.219,DFv2,2026.1.1,Win32,58.82352941,,,,,,,,,,,,,,,,,92,ORNATE,hard,,,,,,,,408.6812,411.0794,z,1.3637,,0,3,3,91,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,248724,001,2026-04-10_16h07.29.219,DFv2,2026.1.1,Win32,58.82352941,,,,,,,,,,,,,,,,,70,SWITCH,easy,,,,,,,,411.0804,413.4625,m,1.346,,0,4,4,69,1,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,248724,001,2026-04-10_16h07.29.219,DFv2,2026.1.1,Win32,58.82352941,,,,,,,,,,,,,,,,,91,OPULENT,hard,,,,,,,,413.4641,415.3794,z,0.8826,,0,5,5,90,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,248724,001,2026-04-10_16h07.29.219,DFv2,2026.1.1,Win32,58.82352941,,,,,,,,,,,,,,,,,79,DETER,hard,,,,,,,,415.381,417.1959,z,0.7822,,0,6,6,78,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,248724,001,2026-04-10_16h07.29.219,DFv2,2026.1.1,Win32,58.82352941,,,,,,,,,,,,,,,,,12,BELIEF,easy,,,,,,,,417.1974,419.2456,m,1.0111,,0,7,7,11,1,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,248724,001,2026-04-10_16h07.29.219,DFv2,2026.1.1,Win32,58.82352941,,,,,,,,,,,,,,,,,28,REFUTE,hard,,,,,,,,419.2469,422.829,z,2.5601,,0,8,8,27,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,248724,001,2026-04-10_16h07.29.219,DFv2,2026.1.1,Win32,58.82352941,,,,,,,,,,,,,,,,,59,THREW,easy,,,,,,,,422.8303,425.3125,z,1.4425,,0,9,9,58,1,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
