consent_form.block_1/question2,participant,session,date,expName,psychopyVersion,OS,frameRate,cbingDFv2.group,cbingDFv2.remaining,code.started,code.stopped,training_instruction.started,training_instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,training1.started,training1.stopped,trials1.thisRepN,trials1.thisTrialN,trials1.thisN,trials1.thisIndex,trials1.ran,"ID",word,easy_hard,old_new,R_F,testing_instruction.started,testing_instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,testing_phase.started,testing_phase.stopped,testing_input.keys,testing_input.rt,testing_input.duration,testing.thisRepN,testing.thisTrialN,testing.thisN,testing.thisIndex,testing.ran,KFFRQ,ART_instruction.started,ART_instruction.stopped,ART.started,ART.stopped,key_resp_LDT.keys,key_resp_LDT.rt,key_resp_LDT.duration,ART_trials.thisRepN,ART_trials.thisTrialN,ART_trials.thisN,ART_trials.thisIndex,ART_trials.ran,Index,Author,real,LexTALE_instruction.started,LexTALE_instruction.stopped,LexTALE.started,LexTALE.stopped,key_resp_LDT_2.keys,key_resp_LDT_2.rt,key_resp_LDT_2.duration,LexTALE_trials.thisRepN,LexTALE_trials.thisTrialN,LexTALE_trials.thisN,LexTALE_trials.thisIndex,LexTALE_trials.ran,Word,Real,language_background_q.block_1/Q1,language_background_q.block_1/Q2,language_background_q.block_1/Q4,language_background_q.block_1/Q4_a,language_background_q.block_1/Q6,language_background_q.block_1/Q11,language_background_q.block_1/Q11-Comment,language_background_q.block_1/Q12,language_background_q.block_1/Q17,language_background_q.block_1/Q19,language_background_q.block_1/Q20,language_background_q.block_1/Q21,language_background_q.block_1/Q22,language_background_q.block_1/Q47,language_background_q.block_1/Q48,language_background_q.block_1/Q53,language_background_q.block_1/Q54,language_background_q.block_1/Q55,language_background_q.block_1/Q58,language_background_q.block_1/Q59,language_background_q.block_1/Q60,end.started,end.stopped,space_to_end.keys,space_to_end.rt,space_to_end.duration
,113462,001,2026-04-14_13h49.42.901,DFv2,2026.1.1,Win32,120.1923077,,,,,,,,,,211.593,217.093,0,31,31,24,1,25,PROFANE,hard,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,113462,001,2026-04-14_13h49.42.901,DFv2,2026.1.1,Win32,120.1923077,,,,,,,,,,217.094,222.593,0,32,32,2,1,3,ADDRESS,easy,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,113462,001,2026-04-14_13h49.42.901,DFv2,2026.1.1,Win32,120.1923077,,,,,,,,,,222.593,228.093,0,33,33,20,1,21,SHOCK,easy,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,113462,001,2026-04-14_13h49.42.901,DFv2,2026.1.1,Win32,120.1923077,,,,,,,,,,228.093,233.594,0,34,34,35,1,36,APPEASE,hard,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,113462,001,2026-04-14_13h49.42.901,DFv2,2026.1.1,Win32,120.1923077,,,,,,,,,,233.595,239.094,0,35,35,45,1,46,PROSAIC,hard,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,113462,001,2026-04-14_13h49.42.901,DFv2,2026.1.1,Win32,120.1923077,,,,,,,,,,239.095,244.594,0,36,36,44,1,45,PROFUSE,hard,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,113462,001,2026-04-14_13h49.42.901,DFv2,2026.1.1,Win32,120.1923077,,,,,,,,,,244.595,250.094,0,37,37,41,1,42,MOLLIFY,hard,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,113462,001,2026-04-14_13h49.42.901,DFv2,2026.1.1,Win32,120.1923077,,,,,,,,,,250.095,255.595,0,38,38,11,1,12,BELIEF,easy,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,113462,001,2026-04-14_13h49.42.901,DFv2,2026.1.1,Win32,120.1923077,,,,,,,,,,255.596,261.095,0,39,39,18,1,19,BRANCH,easy,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,113462,001,2026-04-14_13h49.42.901,DFv2,2026.1.1,Win32,120.1923077,,,,,,,,,,261.095,266.596,0,40,40,37,1,38,COERCE,hard,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,113462,001,2026-04-14_13h49.42.901,DFv2,2026.1.1,Win32,120.1923077,,,,,,,,,,266.598,272.096,0,41,41,17,1,18,FLIGHT,easy,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
